StationId,StationName,City,State,Latitude,Longitude
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5062,80.648
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,17.6868,83.2185
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,26.182,91.75
BR005,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,25.582,85.046
BR006,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,25.5941,85.1376
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,25.615,85.148
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,25.617,85.133
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,25.6,85.16
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,25.583,85.083
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,30.729,76.768
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,28.815,77.153
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,28.65,77.315
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,28.688,77.176
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,28.47,77.133
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,28.8,77.033
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,28.725,77.2
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,28.55,77.273
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,28.75,77.117
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,28.5,77.267
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,28.57,77.067
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,28.65,77.283
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,28.556,77.1
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,28.683,77.305
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,28.628,77.247
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,28.725,77.167
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,28.583,77.233
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,28.591,77.227
