station_id,station_name
10110,"Dr. Karni Singh Shooting Range, Delhi, Delhi, India"
10114,"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India"
10120,"Bramprakash Ayurvedic Hospital, Najafgarh, Delhi, Delhi, India"
10706,"Narela, Delhi, Delhi, India"
10708,"Mundka, Delhi, Delhi, India"
11267,"Pooth Khurd, Bawana, Delhi, Delhi, India"
11269,"Hardev Nagar, Bathinda, India"
11271,"Asansol Court Area, Asansol, India"
11272,"Punjab Agricultural University, Ludhiana, India"
11275,"Sector-D Industrial Area, Mandideep, India"
11276,"Jayanagar 5th Block, Bengaluru, India"
11277,"New Mandi, Muzaffarnagar, India"
11280,"Secretariat, Amaravati, India"
11282,"Model Town, Patiala, India"
11283,"Gangapur Road, Nashik, India"
11285,"Shrinath Puram, Kota, India"
11286,"Mahakaleshwar Temple, Ujjain, India"
11287,"Bandhavgar Colony, Satna, India"
11288,"Talcher Coalfields, Talcher, India"
11289,"Indira Colony Vistar, Pali, India"
11290,"Ward-32 Bapupara, Siliguri, India"
11291,"Police Commissionerate, Jaipur, India"
11294,"Deshpande Nagar, Hubballi, India"
11298,"Lal Bahadur Shastri Nagar, Kalaburagi, India"
11299,"Civil Line, Jalandhar, India"
11302,"Yamunapuram, Bulandshahr, India"
11303,"Anand Kala Kshetram, Rajamahendravaram, India"
11304,"Shastri Nagar, Jaipur, India"
11305,"ICRISAT Patancheru, Hyderabad, India"
11306,"Sector-2 Industrial Area, Pithampur, India"
11308,"Adarsh Nagar, Jaipur, India"
11309,"Kalal Majra, Khanna, India"
11310,"Ratanpura, Rupnagar, India"
11311,"Civil Lines, Ajmer, India"
11312,"Bapuji Nagar, Bengaluru, India"
11313,"Bhopal Chauraha, Dewas, India"
11314,"Ashok Nagar, Udaipur, India"
11316,"Chikkaballapur Rural, Chikkaballapur, India"
11318,"Anand Vihar, Hapur, India"
11320,"Padmapukur, Howrah, India"
11321,"Golden Temple, Amritsar, India"
11322,"RIMT University, Mandi Gobindgarh, India"
11427,"GM Office, Brajrajnagar, India"
11428,"Hebbal, Bengaluru, India"
11843,"GIDC, Ankleshwar, India"
11844,"Railway Colony, Guwahati, India"
11847,"SIDCO Kurichi, Coimbatore, India"
11848,"RIICO Ind. Area III, Bhiwadi, India"
11849,"H.B. Colony, Bhiwani, India"
11854,"Sector-10, Gandhinagar, India"
11859,"Manali Village, Chennai, Chennai, India"
11860,"Shasthri Nagar, Ratlam, India"
11862,"Shrivastav Colony, Damoh, India"
11864,"Sahilara, Maihar, India"
11866,"Moti Doongri, Alwar, India"
11899,"Sanjay Nagar, Ghaziabad, India"
11919,"Udyogamandal, Eloor, India"
