station_id,station_name
10015,"Uppsala Kungsgatan 67, Sweden"
0,"Barrie, Ontario, Canada"
10026,"Campolongo, Pontevedra, Galicia, Spain"
10017,"Lund Trollebergsvägen, Sweden"
1,"Belleville, Ontario, Canada"
10005,"Paanakedonkatu, Pori, Finland"
10023,"Reina Sofía, Ferrol, Galicia, Spain"
10024,"Fingoy, Lugo, Galicia, Spain"
10019,"Grund., Gröf, Iceland"
10020,"Grund.,Kríuv., Iceland"
10040,"Mariendorf, Mariendorfer Damm, Berlin, Germany"
10041,"Kraków, os. Wadów, Małopolska, Poland"
10025,Name not available
10033,"Buch, Berlin, Germany"
10038,"Friedrichshain-Frankfurter Allee, Berlin, Germany"
10031,"Grunewald (3.5 m), Berlin, Germany"
10064,"Montluçon, Auvergne, France"
10065,"Moulins Centre, Auvergne, France"
10063,"Aurillac Lagarde, Auvergne, France"
10034,"Friedrichshagen, Berlin, Germany"
10052,"Villefranche Centre, France"
10080,"Guéret centre, France"
10067,"Pays du Mézenc, Auvergne, France"
10043,Name not available
10060,"Sallanches Régie, France"
10072,"Tartas Pelletrin, Aquitaine, France"
10076,"Saint-Junien centre, France"
10082,"Sainte-Luce, Martinique, France"
10094,"Strumica, Macedonia (Струмица)"
10077,"Tulle centre, France"
10066,"Le Puy Causans, Auvergne, France"
10086,"Notre Dame De Gravenchon - Pasteur, Le Havre, France"
10097,"Christchurch Barrack Road, United Kingdom"
10091,"Hipodruma, Sofia, Bulgaria (Хиподрума, Столична)"
10081,"Lycée Kourou, Guyane, France"
10088,"Dieppe, avenue Gambetta, Trafic, France"
10096,"Bournemouth, United Kingdom"
10092,"Gostivar, Macedonia (Гостивар)"
10093,"Kumanovo, Macedonia (Куманово)"
10120,"Bramprakash Ayurvedic Hospital, Najafgarh, Delhi, Delhi, India"
10100,"Sheffield Barnsley Road, United Kingdom"
10114,"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India"
10136,"Terrebonne - secteur du parc Vaillant, Quebec, Canada"
10098,"Greenock A8 Roadside, United Kingdom"
10101,"Birmingham A4540 Roadside, United Kingdom"
10099,"Northampton Spring Park, United Kingdom"
10141,Melbourne CBD
10142,Macquarie Park Sydney East
10134,"Brossard - secteur du parc Sorbonne, Quebec, Canada"
10110,"Dr. Karni Singh Shooting Range, Delhi, Delhi, India"
10108,Name not available
10148,Stokes Hill
10135,"Lévis - secteur du parc Georges-Maranda, Quebec, Canada"
10154,"Oakridge, Oregon, USA"
10145,Narrabri North-west Slopes
10140,"Edmundston, NewBrunswick, Canada"
10143,North Parramatta Sydney North-west
10164,"San Luis De La Paz Presidencia Municipal, Mexico"
10149,"Portland Postal Bldg., Oregon, USA"
10167,"Palacio de Gobierno, Tlaxcala, Tlaxcala, Mexico"
10174,"Milw Coll. Ave.-nr, Wisconsin, USA"
10147,Kalgoorlie
10170,"Iron, Utah"
10182,"Carrithers Middle School, Kentucky, USA"
10177,"Cleveland, Mississippi, USA"
10178,"Near Road OKC, Oklahoma, USA"
10165,"Abasolo Presidencia Municipal, Mexico"
10173,Name not available
10181,"Cedar Bluff, Kansas, USA"
10185,"Pudong Zhoupu, Shanghai (浦东周浦)"
10179,"PC South Girard School, Alabama, USA"
10183,"Bangor MSS, Maine, USA"
10180,"Hammond-167th St, Indiana, USA"
10186,"Pudong Huinan, Shanghai (浦东惠南)"
10208,"Jiading Nanxiang, Shanghai (嘉定南翔)"
102,"Spruce Ave, Bremerton, Washington, USA"
10199,"Yangpu New Jiangwan City, Shanghai (杨浦新江湾城)"
10209,"jīnshān zhū jīng, Shanghai (金山朱泾)"
10192,Name not available
10212,"Jinshan Fengjing, Shanghai (金山枫泾)"
10201,"Baoshan Luodian, Shanghai (宝山罗店)"
10204,"Minhang Pujiang, Shanghai (闵行浦江)"
