StationId,StationName,City,State,Latitude,Longitude
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5062,80.6480
AP002,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,17.0005,81.8040
AP003,"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,13.6833,79.3500
AP004,"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.5062,80.6480
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,17.6868,83.2185
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,26.1820,91.7500
BR001,"Collectorate, Gaya - BSPCB",Gaya,Bihar,24.7955,85.0002
BR002,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,24.7955,85.0002
BR003,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,25.6850,85.2140
BR004,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,26.1209,85.3647
BR005,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,25.5820,85.0460
BR006,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,25.5941,85.1376
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,25.6150,85.1480
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,25.6170,85.1330
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,25.6000,85.1600
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,25.5830,85.0830
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,30.7290,76.7680
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,28.8150,77.1530
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,28.6500,77.3150
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,28.6880,77.1760
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,28.4700,77.1330
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,28.8000,77.0330
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,28.7250,77.2000
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,28.5500,77.2730
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,28.7500,77.1170
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,28.5000,77.2670
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,28.5700,77.0670
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,28.6500,77.2830
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,28.5560,77.1000
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,28.6830,77.3050
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,28.6280,77.2470
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,28.7250,77.1670
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,28.5830,77.2330
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,28.5910,77.2270
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,28.6120,77.2370
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,28.6360,77.2000
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,28.6830,77.0170
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,28.6100,77.0330
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,28.6120,76.9830
DL023,"Narela, Delhi - DPCC",Delhi,Delhi,28.8520,77.0930
DL024,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,28.5670,77.2500
DL025,"North Campus, DU, Delhi - IMD",Delhi,Delhi,28.6850,77.2100
DL026,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,28.5330,77.2730
DL027,"Patparganj, Delhi - DPCC",Delhi,Delhi,28.6330,77.3000
DL028,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,28.6670,77.1330
DL029,"Pusa, Delhi - DPCC",Delhi,Delhi,28.6370,77.1670
DL030,"Pusa, Delhi - IMD",Delhi,Delhi,28.6370,77.1670
DL031,"R K Puram, Delhi - DPCC",Delhi,Delhi,28.5630,77.1830
DL032,"Rohini, Delhi - DPCC",Delhi,Delhi,28.7330,77.1170
DL033,"Shadipur, Delhi - CPCB",Delhi,Delhi,28.6500,77.1570
DL034,"Sirifort, Delhi - CPCB",Delhi,Delhi,28.5500,77.2170
DL035,"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,28.7170,77.2500
DL036,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,28.5580,77.2000
DL037,"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,28.6720,77.3170
DL038,"Wazirpur, Delhi - DPCC",Delhi,Delhi,28.7000,77.1670
GJ001,"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,23.0000,72.6000
GJ002,"GIDC, Ankleshwar - GPCB",Ankleshwar,Gujarat,21.6170,73.0000
GJ003,"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,23.2330,72.6500
GJ004,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,22.4170,73.0830
GJ005,"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,20.3670,72.9170
GJ006,"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,22.9670,72.6330
HR001,"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,30.3830,76.7830
HR002,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,28.6830,76.9330
HR003,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,28.3370,77.3170
HR004,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,28.7830,76.1330
HR005,"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,28.2000,76.7830
